ID	Name	CampaignID	Holder	LastTransferBlock	LastTransferTxIdx
218	Shadowy Coder	92	0x7495b77b15fcb52fbb7bcb7380335d819ce4c04b	13088932	188
219	Shadowy Coder	92	0x07765d05d0cab965c5878079cf2e11707aa96c5c	13088933	106
220	Shadowy Coder	92	0x62acc475f68254941e923958fcad78e10a4cff06	13088933	170
221	Shadowy Coder	92	0x465e4e3859494fcdf755aa0884c90e9a048a4d3b	13088933	362
222	Shadowy Coder	92	0x28ed88c5f72c4e6dfc704f4cc71a4b7756bc4dbc	13088935	247
223	Shadowy Coder	92	0xd094ad149fec37e8e5e950b196f3063f67e74bf1	13165470	335
224	Shadowy Coder	92	0xcb64f30a399c7067c2d27ca3ecd10da748035d61	13088942	75
225	Shadowy Coder	92	0xb53b0255895c4f9e3a185e484e5b674bccfbc076	13088943	43
226	Shadowy Coder	92	0x3bf620b8728efb78706a33a6da97951931cd46a0	13917391	325
227	Shadowy Coder	92	0x6cb0862845933bcefdc94ea001103619beb13041	13088945	373
228	Shadowy Super-Coder	91	0xae95df36ccddf74cfe7f8463c52777fb8c9fddbb	13088957	153
229	Shadowy Coder	92	0xae95df36ccddf74cfe7f8463c52777fb8c9fddbb	13088957	176
230	Shadowy Super-Coder	91	0xebc49937580148249b11f3592d95adb5f0757c01	13088957	183
231	Shadowy Coder	92	0xebc49937580148249b11f3592d95adb5f0757c01	13088965	92
232	Shadowy Coder	92	0xcb222a32df146ef7e3ac63725dad0fd978d33ce2	13088990	325
233	Shadowy Coder	92	0x0cabefb481ba845db8b0a2bd9f30a39d34bdff5d	13088977	66
234	Shadowy Coder	92	0x4d59530a5d276f7ce4793efecd7a30d3f5fc9c95	14007271	319
235	Shadowy Coder	92	0xace3c69a43233d2b99bb4113fd1aefd7cd833abb	13088980	369
236	Shadowy Coder	92	0xd9a991585a717861b8f5238e7893e5a2125f9649	13088983	173
237	Shadowy Super-Coder	91	0x19f12c947d25ff8a3b748829d8001ca09a28d46d	13088988	29
238	Shadowy Super-Coder	91	0xeaa11e489dbb1073fd5a9732c9c1bcaf48a7abb9	13659511	564
239	Shadowy Coder	92	0x7133bcf458f9e5c1d5c13b88daeddb0c0aa0c3ea	13088990	362
240	Shadowy Coder	92	0xd6ee6bf24cf176f1247cb871b10613ccd788fcd9	13088992	28
241	Shadowy Coder	92	0xd523c9987fff7dbe7c6f471196434d84589bc284	13088994	354
242	Shadowy Coder	92	0x577d6f16aabe0c30d8b4f2df8c0bf24628abee6d	13089149	151
243	Shadowy Coder	92	0x4d99d767477fbb2b47efeb17e2a78970ad22ccc1	13089055	117
244	Shadowy Coder	92	0x4d99d767477fbb2b47efeb17e2a78970ad22ccc1	13089055	116
245	Shadowy Coder	92	0x9f2fedfff291314e5a86661e5ed5e6f12e36dd37	13089061	427
246	Shadowy Coder	92	0x8d138c01765483cb79d787ce5933f609cbfdabcf	13160578	157
247	Shadowy Coder	92	0x00000000005dbcb0d0513fcda746382fe8a53468	13089065	514
248	Shadowy Coder	92	0x7682969b74d73dd72963fdb353476a5c3cecf786	13232590	480
249	Shadowy Coder	92	0x34abcab28446850d8bad11d8ec2ffe85fb65183f	13089069	126
250	Shadowy Coder	92	0x11e4857bb9993a50c685a79afad4e6f65d518dda	13089086	174
251	Shadowy Super-Coder	91	0xa4949f7e21ead47d704500daa8fdb36f827bfaf6	13089086	221
252	Shadowy Coder	92	0xa4949f7e21ead47d704500daa8fdb36f827bfaf6	13089086	223
253	Shadowy Coder	92	0x16a76445019ec9d8b1244f22a0d5b40ca352bc74	13089094	209
254	Shadowy Super-Coder	91	0xc3774af3452628636d031544d1e8893c3d8701ab	13219496	189
255	Shadowy Coder	92	0x1b500c79fda38347f118443566426bda1a94983a	13089145	519
256	Shadowy Coder	92	0xa45f6f017d49f9cf2c304e168bc296a85325faef	13221262	240
257	Shadowy Super-Coder	91	0xaa9e20bab58d013220d632874e9fe44f8f971e4d	13089169	418
258	Shadowy Super-Coder	91	0x9e3c40045a3503b33bfedaea0bf6981120e8c753	13089173	127
259	Shadowy Coder	92	0x61c96e9bfd4472cfe84a710c3e024f15912490cc	13089176	358
260	Shadowy Coder	92	0x9e3c40045a3503b33bfedaea0bf6981120e8c753	13089176	554
261	Shadowy Coder	92	0x287300059f50850d098b974abe59106c4f52c989	13089188	197
262	Shadowy Super-Coder	91	0xee4a9ab62c66c7a96e5e30717a8a91fcc2e52d42	13089190	103
263	Shadowy Coder	92	0x3c0a3d1994c567fd4bf17dc5858ec84ff1f87501	13089247	271
264	Shadowy Coder	92	0x20ee60d761de96b1e7fa4ebdfef5700e9844955a	13089200	121
265	Shadowy Super-Coder	91	0x20ee60d761de96b1e7fa4ebdfef5700e9844955a	13089200	123
266	Shadowy Super-Coder	91	0x3f3d2e428017a756b97920044457e99ce364fc38	13089200	474
267	Shadowy Coder	92	0x4a7319859f1455d7af50d398527e5be3cc99ca29	13089202	344
268	Shadowy Super-Coder	91	0xd3d555bb655acba9452bfc6d7cea8cc7b3628c55	13089207	167
269	Shadowy Super-Coder	91	0x610c92c70eb55dfeafe8970513d13771da79f2e0	13387006	251
270	Shadowy Coder	92	0xd3d555bb655acba9452bfc6d7cea8cc7b3628c55	13089208	92
271	Shadowy Coder	92	0x604dbcb8d265e1aba1dce152abb8498ef555832f	13089271	67
272	Shadowy Super-Coder	91	0x8456dc5a43bd6dd43c1ba283e202d5a8d67fad7b	13089213	57
273	Shadowy Coder	92	0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e	13089217	66
274	Shadowy Coder	92	0xe7422839e7b820b67c3f743e11e1b3eba05bc571	13089219	154
275	Shadowy Super-Coder	91	0x69bdb276a17dd90f9d3a545944ccb20e593ae8e3	13089219	179
276	Shadowy Coder	92	0xd85be7bd96404b02f3c674137d2c369bf2bf40a1	13089219	256
277	Shadowy Coder	92	0x0c2ef8a1b3bc00bf676053732f31a67ebba5bd81	13089219	448
