address	galaxyGirl	shadowySuperCoder	shadowyCoder	cowBoyLV1	cowBoyLV2	cowBoyLV3	cowBoyLV4	cowBoyLV5	boost	total
0x2b0a4a5a20f7279f8dcbd33a55604fbe7f88f02b	0	0	0	1	0	0	0	0	1	20
0x3325ea72fa2e8c0cb79391c212d6f065bf99414d	0	0	1	0	0	0	0	0	1	100
0xb505061e3f2b278195740efd49e10669c7dfebf6	0	0	1	0	0	0	0	0	1	100
0xef6277df796734fe42e5b6ac63d716d647f1bdaa	0	0	0	1	0	0	0	0	1.2	20
0xddfe1b91ae6e668fef58de7289eacf6db32e4167	1	0	0	0	0	0	0	0	1	250
0x9480fc2a527bb0f0e5e6a3cf2922bcd123b71302	1	0	0	0	0	0	0	0	1	250
0xdfbaa97774292bc8729057ae1da3f297f1d88997	1	0	0	0	0	0	0	0	1	250
0x4423225b1ec18f4156355425fcf29b1f59caffeb	1	0	1	1	0	0	0	0	1.2	420
0xee933b0f5cb0ae6d72dfd90089d18b6bb29d510b	1	0	0	1	0	0	0	0	1	270
0x86dc2855c5a49b1e2f0ef159d082fb2d61acf806	0	0	0	1	1	1	1	0	1	290
0x2bfaa88dfb4807f1c01dd10d1f3c813c50c2a516	0	0	0	1	0	0	0	0	1	20
0x92d12e9d46418d9464c572c95fc22bcf3a76c391	1	0	0	0	0	0	0	0	1	250
0x0401a24dac46b5dd760db9ab21cbb015b727ba51	1	0	0	0	0	0	0	0	1	250
0x223cf852a2320b7d451bbf5ff8e97cc3aa6fec9b	1	0	0	0	0	0	0	0	1	250
0x0ffa84c59169853f698b3d5bc98aafb9a0cbc0e9	0	0	0	1	1	1	1	0	1	290
0x6bae152cc849f5e8225240c116e246c1807ea247	0	0	0	1	0	0	0	0	1	20
0xc6bf674622ec79680af317a8167dc3b6f8186cc5	1	0	0	0	0	0	0	0	1	250
0xafa573f3d14862c3d4eedd4cef38097271950000	1	0	0	0	0	0	0	0	1	250
0x6c64f87af61b0d100ccfacb0c719e5d5d2833cd4	1	0	0	0	0	0	0	0	1	250
0x4b47f4339a73d50ac1cf965b9699a5966a3918e9	1	0	0	0	0	0	0	0	1	250
0x649454f2f609f025ea16d113445391cc0a96431d	0	0	0	1	0	0	0	0	1	20
0x7e461d582a6286ec922b5863453d8c19c2aafe8e	0	0	1	0	0	0	0	0	1	100
0x171c8be8b92674f7d7b0593aca4619a25a40b6f0	1	0	0	1	1	1	1	1	2	1240
0x20cd114ecf70c79502cc2b47b7d70c3a5f6b508e	1	0	0	0	0	0	0	0	1	250
0x26ff4305d51beaecee885524f43f6f872deea932	1	0	0	0	0	0	0	0	1	250
0xfe20dd8f4e0dd69dbf87fbc0561b906fa397a699	0	0	0	1	1	1	0	0	1.2	110
0x3dc4e4f0bf3a9135748802f5e7983ae36212e80d	0	0	1	2	1	0	0	0	1	170
0xd27a04545e8ec1984ee62952fff11ac6a7adbfdf	1	0	0	1	1	1	1	1	2	1240
0x2db6a02417031ff8543d8c7f5805893fa1005028	0	0	0	1	1	1	0	0	1.2	110
0x2befbacd4073922baa20c4a20171d735658a3bc0	1	0	0	0	0	0	0	0	1	250
0x84e0ad8e8ff4aa9e866ddcf1aecdf5754cb4ba97	1	0	0	0	0	0	0	0	1	250
0x52e7a27c2a3d28fa9824262549358d6fd56ae10f	0	0	0	1	0	0	0	0	1	20
0x966893c98a86733819d7a151cc36a6bc98861fc2	0	0	0	1	1	0	0	0	1.2	50
0x6d7c954347942a35e05e0eaf6039aaab63dd6433	1	0	0	1	0	0	0	0	1	270
